year,video_id,timestamp_id,video_duration
2008,cjwaBQRWXr8,ForReviews-qn1jm,02:51:16
2009,UtGcT6jhswY,ForReviews-qn1jm,03:37:14
2010,oU4CtpQx-b4,signalredd8906,03:42:58
2011,CQhq7x3JX9Q,themariobroschannel8763,03:58:35
2012,HBuJOJOVVuc,benbarnard0605,04:04:52
2013,JfaIujdTPbo,reto,04:08:46
2014,YVweuI6dLrM,benbarnard0605,04:03:25
2015,v4IpZNamsPc,takuansoho5836,04:06:55
2016,DGkga7hfIlI,takuansoho5836,04:13:26
2017,VC8eZoZSCFY,takuansoho5836,04:08:46
2018,anqifldT5Js,Spiderwilliam13,04:05:51
2019,AkammjlX_qs,benbarnard0605,04:23:10
2020,T88V6u846HM,emeraldmines1194,04:28:42
2021,nyQm3sToB_8,themariobroschannel8763,04:17:22
2022,yKrr7_HYZQY,themariobroschannel8763,04:13:37